834S - OVINHO ,"136,5",,,
ALÚMINIO ,,sub,,
"836S - MIRIM - 13,5cm x 4,5cm ",273,,,
"837S - PEQUENO SIMPLES - 22cm x 5,1cm ","370,5",,,
"838S - MEDIO SIMPLES - 30cm x 6,5cm ","526,5",,,
"839S - GRANDE SIMPLES 39cm X 7,5cm ",663,,,
PANDEIRÃO,,categoria,,
ALÚMINIO - CORPO DE 10 CM ,,sub,,
"655PAN - 14"" - 6 COL. - PELE NYLON - EPOXI ",3120,,,
"656PAN - 16"" - 7 COL. - PELE NYLON - EPOXI ",3588,,,
"657PAN - 18"" - 8 COL. - PELE NYLON - EPOXI ",4017,,,
"658PAN - 20"" - 9 COL. - PELE NYLON - EPOXI",4446,,,
"659PAN - 22"" - 10 COL. - PELE NYLON - EPOXI",4680,,,
"660PAN - 24"" - 11 COL. - PELE NYLON - EPOXI ",4875,,,
ACESSÓRIOS ,,sub,,
"843GN - TIRANTE REBOLO/TAMTAM ""POP LINE"" COM PORCA (PACOTE COM 12) ",546,,,
CHAVE DE AFINAÇÃO ,,sub,,
888G - CHAVE DE AFINAÇÃO TUBULAR,"91,65",,,
"891G - CHAVE DE AFINAÇÃO EM ""L"" PROFISSIONAL ",195,,,
PANDEIRO,,categoria,,
INICIANTE ,,sub,,
"628PE - 8"" - 5 TIRANTES - 8 PRATINELAS - PELE NYLON - MADEIRA ENVERN. ","760,5",,,
"628PEA - 8"" - 5 TIRANTES - 8 PRATINELAS - PELE ANIMAL - MADEIRA ENVERN.",975,,,
"628PES - 8"" - MOD. SINFÔNICO - 26 PRATINELAS INOX - PELE ANIMAL PREGADA ",1131,,,
"631PE - 10"" - 6 TIRANTES - 10 PRATINELAS - PELE NYLON - MADEIRA ENVERN.",897,,,
"631PEA - 10"" - 6 TIRANTES - 10 PRATINELAS - PELE ANIMAL - MADEIRA ENVERN. ","1150,5",1200,1300,1380
"631PF - 10"" - 6 TIRANTES - 10 PRATINELAS - PELE NYLON - FÓRMICA",1014,,,
"631PFH - 10"" - 6 TIRANTES - 10 PRATINELAS - PELE HOLOGRAFICA - FÓRMICA",1170,,,
"632PE - 11"" - 7 TIRANTES - 12 PRATINELAS - PELE NYLON - MADEIRA ENVERN. ","1033,5",,,
"632PEA - 11"" - 7 TIRANTES - 12 PRATINELAS - PELE ANIMAL - MADEIRA ENVERN. ",1365,,,
"632PF - 11"" - 7 TIRANTES - 12 PRATINELAS - PELE NYLON- FÓRMICA ",1638,,,
"632PFH - 11"" - 7 TIRANTES - 12 PRATINELAS - PELE HOLOGRAFICA - FÓRMICA ","1306,5",,,
"635PE - 12"" - 12 TIRANTES - 12 PRATINELAS - PELE NYLON - MADEIRA ENVERN. ","1189,5",,,
"635PEA - 12"" - 12 TIRANTES - 12 PRATINELAS -PELE ANIMAL - MADEIRA ENVERN.","1501,5",,,
"635PF - 12"" - 12 TIRANTES - 12 PRATINELAS - PELE NYLON - FÓRMICA","1306,5",,,
"635PFH - 12"" - 12 TIRANTES - 12 PRATINELAS - PELE HOLOGRAFICA - FÓRMICA ","1423,5",,,
PROFISSIONAL 1 AFINAÇÃO ,,sub,,
"641PEH - 10"" - 7 COL. - PELE HOLOGRAFICA - 24 PRATINELAS - MAD. ENVERN. ","2154,75",,,
"641PEP - 10"" - 7 COL. - PELE POROSA - 24 PRATINELAS - MAD. ENVERN. ","2154,75",,,
"641PP - 10"" - 7 COL. - PELE POROSA - 24 PRATINELAS FÓRMICA - (2 CORES) ","2370,225",2400,2600,2680
"644PEH - 11"" - 8 COL. - PELE HOLOGRAFICA - 28 PRATINELAS - MAD. ENVERN. ","2320,5",,,
"644PEP - 11"" - 8 COL. - PELE POROSA - 28 PRATINELAS - MAD. ENVERN.","2320,5",,,
"644PP - 11"" - 8 COL. - PELE POROSA - 28 PRATINELAS FÓRMICA - (2 CORES) ","2552,55",2600,2750,2880
