"854 - 14"" - 8 AFINAÇÕES - PELE LAMINADA",$ 7.640,
CHAVE DE AFINAÇÃO PARA TIRANTE,,sub
892G - CHAVE DE AFINAÇÃO 12/13 ,$ 195,
ACESSÓRIOS ,,sub
848G - TIRANTE PARA DJEMBE (PACOTE COM 8 UNIDADES) ,$ 550,
"849 - COLUNA PARA DJEMBE, EPOXI (PACOTE COM 8 UNIDADES) ",$ 1.030,
842 - TALABARTE DE COURO 2 GANCHOS,$ 465,
842N - TALABARTE DE NYLON 2 GANCHOS,$ 307,
GANZÁ,,categoria
PLÁSTICO ,,sub
834S - OVINHO ,$ 262,
ALÚMINIO ,$ 150,sub
"836S - MIRIM - 13,5cm x 4,5cm ",$ 374,
"837S - PEQUENO SIMPLES - 22cm x 5,1cm ",$ 454,
"838S - MEDIO SIMPLES - 30cm x 6,5cm ",$ 582,
"839S - GRANDE SIMPLES 39cm X 7,5cm ",$ 694,
PANDEIRÃO,,categoria
ALÚMINIO - CORPO DE 10 CM ,,sub
"655PAN - 14"" - 6 COL. - PELE NYLON - EPOXI ",$ 3.560,
"656PAN - 16"" - 7 COL. - PELE NYLON - EPOXI ",$ 3.944,
"657PAN - 18"" - 8 COL. - PELE NYLON - EPOXI ",$ 4.296,
"658PAN - 20"" - 9 COL. - PELE NYLON - EPOXI",$ 4.648,
"659PAN - 22"" - 10 COL. - PELE NYLON - EPOXI",$ 4.840,
"660PAN - 24"" - 11 COL. - PELE NYLON - EPOXI ",$ 5.000,
ACESSÓRIOS ,,sub
"843GN - TIRANTE REBOLO/TAMTAM ""POP LINE"" COM PORCA (PACOTE COM 12) ",$ 598,
CHAVE DE AFINAÇÃO ,,sub
888G - CHAVE DE AFINAÇÃO TUBULAR,$ 135,
"891G - CHAVE DE AFINAÇÃO EM ""L"" PROFISSIONAL ",$ 288,
PANDEIRO,,categoria
INICIANTE ,,sub
"628PE - 8"" - 5 TIRANTES - 8 PRATINELAS - PELE NYLON - MADEIRA ENVERN. ",$ 1.124,
"628PEA - 8"" - 5 TIRANTES - 8 PRATINELAS - PELE ANIMAL - MADEIRA ENVERN.",$ 1.300,
"628PES - 8"" - MOD. SINFÔNICO - 26 PRATINELAS INOX - PELE ANIMAL PREGADA ",$ 1.428,
"631PE - 10"" - 6 TIRANTES - 10 PRATINELAS - PELE NYLON - MADEIRA ENVERN.",$ 1.236,
"631PEA - 10"" - 6 TIRANTES - 10 PRATINELAS - PELE ANIMAL - MADEIRA ENVERN. ",$ 1.444,
"631PF - 10"" - 6 TIRANTES - 10 PRATINELAS - PELE NYLON - FÓRMICA",$ 1.332,
"631PFH - 10"" - 6 TIRANTES - 10 PRATINELAS - PELE HOLOGRAFICA - FÓRMICA",$ 1.460,
"632PE - 11"" - 7 TIRANTES - 12 PRATINELAS - PELE NYLON - MADEIRA ENVERN. ",$ 1.348,
"632PEA - 11"" - 7 TIRANTES - 12 PRATINELAS - PELE ANIMAL - MADEIRA ENVERN. ",$ 1.620,
"632PF - 11"" - 7 TIRANTES - 12 PRATINELAS - PELE NYLON- FÓRMICA ",$ 1.844,
